protocol,target_batch,model_name,tuning_policy,train_batches,n_train_full,n_val_inner,n_test,selected_C,selected_gamma,best_val_macro_f1_fixed6,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy
B_rolling_update,9,robust_svm_rbf,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.00390625,0.8929675687969122,0.741030785005484,0.741030785005484,0.7574468085106383,0.8030026621829901
B_rolling_update,9,routear_combined_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,50.0,0.001,0.900388117587467,0.7365598396883151,0.7365598396883151,0.7659574468085106,0.8138461538461539
B_rolling_update,9,signed_log_abs_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.01,0.9566693507371474,0.9076434363669778,0.9076434363669778,0.902127659574468,0.9211728865194212
B_rolling_update,9,ss_svm_rbf,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.00390625,0.9062183421799924,0.7434872338040502,0.7434872338040502,0.7617021276595745,0.8072761664564944
B_rolling_update,10,power_yeojohnson_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.0078125,0.9470925541114715,0.7541763122893609,0.7541763122893609,0.76,0.7599999999999999
B_rolling_update,10,quantile_normal_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.0078125,0.9657252177003851,0.7438681429863815,0.7438681429863815,0.7511111111111111,0.751111111111111
B_rolling_update,10,ratio_median_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.01,0.7547349965125466,0.7142237482594749,0.7142237482594749,0.7191666666666666,0.7191666666666667
B_rolling_update,10,robust_svm_rbf,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.01,0.757203749877657,0.6582124827785435,0.6582124827785435,0.6702777777777778,0.6702777777777778
B_rolling_update,10,routear_combined_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,1.0,0.001,0.743091319292878,0.654907411000509,0.654907411000509,0.6463888888888889,0.6463888888888889
B_rolling_update,10,signed_log_abs_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.0078125,0.9316491461835731,0.7154825167301028,0.7154825167301028,0.7191666666666666,0.7191666666666667
B_rolling_update,10,ss_svm_rbf,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.01,0.7547349965125466,0.7142237482594749,0.7142237482594749,0.7191666666666666,0.7191666666666667
