dataset,protocol,target_batch,model_name,split_type,n_train,n_val,n_test,macro_f1,macro_f1_present,accuracy,balanced_accuracy,late_early_bucket,notes
uci270,A_cold_batch_transfer,10,logreg,exploratory,356,89,3600,0.25219995034111975,0.25219995034111975,0.3488888888888889,0.3488888888888888,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,rf,exploratory,356,89,1244,0.6800203222490041,0.6800203222490041,0.7290996784565916,0.7346344812666983,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,rf,exploratory,356,89,1586,0.5299858743583418,0.6359830492300101,0.7395964691046658,0.6734892302015589,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,rf,exploratory,356,89,161,0.4203247283112644,0.5043896739735173,0.577639751552795,0.5729166666666667,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,rf,exploratory,356,89,197,0.3915369915369915,0.4698443898443898,0.4467005076142132,0.5795238095238096,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,rf,exploratory,356,89,2300,0.38688930407394756,0.38688930407394756,0.4926086956521739,0.46765389082462255,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,rf,exploratory,356,89,3613,0.30186392113445776,0.30186392113445776,0.400221422640465,0.43052006055744085,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,rf,exploratory,356,89,294,0.1903857790954565,0.1903857790954565,0.23469387755102042,0.33749999999999997,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,rf,exploratory,356,89,470,0.35050557620146067,0.35050557620146067,0.43617021276595747,0.4666666666666666,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,rf,exploratory,356,89,3600,0.2724247643860684,0.2724247643860684,0.34555555555555556,0.34555555555555556,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
