config_label,boundary_id,low_upper_mg_L,mid_upper_mg_L,model_name,params_json,fit_status,error_message,validation_design,cv_accuracy,cv_balanced_accuracy,cv_macro_f1,cv_low_precision,cv_low_recall,cv_low_f1,cv_low_support,cv_mid_precision,cv_mid_recall,cv_mid_f1,cv_mid_support,cv_high_precision,cv_high_recall,cv_high_f1,cv_high_support,cv_n_errors
low_le_0.5__mid_le_10__LogisticRegression__002,low_le_0.5__mid_le_10,0.5,10.0,LogisticRegression,"{""model__C"": 0.1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5833333333333334,0.6019536019536019,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0,0.5714285714285714,0.6666666666666666,0.6153846153846154,60.0,1.0,0.75,0.8571428571428571,40.0,50
low_le_0.5__mid_le_10__LogisticRegression__003,low_le_0.5__mid_le_10,0.5,10.0,LogisticRegression,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7384615384615385,0.7611111111111111,0.747702589807853,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0,0.7407407407407407,0.6666666666666666,0.7017543859649122,60.0,1.0,0.75,0.8571428571428571,40.0,34
low_le_0.5__mid_le_10__SVC_RBF__004,low_le_0.5__mid_le_10,0.5,10.0,SVC_RBF,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6923076923076923,0.6111111111111112,0.5714285714285715,0.0,0.0,0.0,30.0,0.625,0.8333333333333334,0.7142857142857143,60.0,1.0,1.0,1.0,40.0,40
low_le_0.5__mid_le_10__SVC_RBF__005,low_le_0.5__mid_le_10,0.5,10.0,SVC_RBF,"{""model__C"": 10.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.611111111111111,0.6103896103896104,0.25,0.3333333333333333,0.2857142857142857,30.0,0.6,0.5,0.5454545454545454,60.0,1.0,1.0,1.0,40.0,50
low_le_0.5__mid_le_10__KNeighborsClassifier__006,low_le_0.5__mid_le_10,0.5,10.0,KNeighborsClassifier,"{""model__n_neighbors"": 1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7,0.7333333333333334,0.7081930415263749,0.4117647058823529,0.7,0.5185185185185185,30.0,0.7692307692307693,0.5,0.6060606060606061,60.0,1.0,1.0,1.0,40.0,39
low_le_0.5__mid_le_10__KNeighborsClassifier__007,low_le_0.5__mid_le_10,0.5,10.0,KNeighborsClassifier,"{""model__n_neighbors"": 3}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6846153846153846,0.7111111111111111,0.6916906880561474,0.3877551020408163,0.6333333333333333,0.4810126582278481,30.0,0.7317073170731707,0.5,0.594059405940594,60.0,1.0,1.0,1.0,40.0,41
low_le_0.5__mid_le_10__RandomForestClassifier__008,low_le_0.5__mid_le_10,0.5,10.0,RandomForestClassifier,"{""model__min_samples_leaf"": 1, ""model__n_estimators"": 160}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.8307692307692308,0.8694444444444445,0.8352775709439895,0.5918367346938775,0.9666666666666668,0.7341772151898734,30.0,0.9523809523809524,0.6666666666666666,0.7843137254901961,60.0,1.0,0.975,0.9873417721518988,40.0,22
low_le_0.5__mid_le_10__GradientBoostingClassifier__009,low_le_0.5__mid_le_10,0.5,10.0,GradientBoostingClassifier,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7307692307692307,0.7222222222222222,0.7190635451505017,0.4285714285714285,0.5,0.4615384615384615,30.0,0.7272727272727273,0.6666666666666666,0.6956521739130435,60.0,1.0,1.0,1.0,40.0,35
low_le_0.5__mid_le_25__PLSDA__000,low_le_0.5__mid_le_25,0.5,25.0,PLSDA,"{""model__n_components"": 2}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5079365079365079,0.5019607843137255,0.0,0.0,0.0,30.0,0.6,0.8571428571428571,0.7058823529411765,70.0,1.0,0.6666666666666666,0.8,30.0,50
low_le_0.5__mid_le_25__PLSDA__001,low_le_0.5__mid_le_25,0.5,25.0,PLSDA,"{""model__n_components"": 5}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5461538461538461,0.5285714285714286,0.520384040140879,0.5,0.6666666666666666,0.5714285714285714,30.0,0.5774647887323944,0.5857142857142857,0.5815602836879432,70.0,0.5263157894736842,0.3333333333333333,0.4081632653061224,30.0,59
